make,model,n,years
Acura,Integra,42,16
Acura,Legend,28,10
Acura,MDX 4WD,12,12
Acura,NSX,28,14
Acura,TSX,27,11
Audi,A4,49,19
Audi,A4 Avant quattro,49,15
Audi,A4 quattro,66,19
Audi,A6,20,19
Audi,A6 Avant quattro,12,12
Audi,A6 quattro,46,20
Audi,A8,20,15
Audi,A8 L,30,16
Audi,S4,29,16
Audi,TT Coupe quattro,23,15
Audi,TT Roadster quattro,20,14
Bentley,Arnage,12,11
Bentley,Continental GT,15,11
BMW,328i,21,10
BMW,525i,30,14
BMW,528i,20,12
BMW,535i,25,12
BMW,740i,12,10
BMW,750i,10,10
BMW,750il,14,12
BMW,M3,27,17
BMW,M3 Convertible,26,14
BMW,M5,20,14
Buick,Century,51,20
Buick,Century Wagon,41,12
Buick,LeSabre,26,21
Buick,Park Avenue,28,15
Buick,Regal,70,23
Buick,Riviera,19,14
Buick,Skylark,38,12
Cadillac,CTS,48,12
Cadillac,DeVille,13,11
Cadillac,Eldorado,21,18
Cadillac,Escalade 2WD,15,14
Cadillac,Escalade AWD,13,13
Cadillac,Limousine,15,15
Cadillac,Seville,24,20
Cadillac,SRX 2WD,17,11
Cadillac,SRX AWD,19,11
Chevrolet,Astro 2WD (cargo),50,21
Chevrolet,Astro 2WD (passenger),41,21
Chevrolet,Astro AWD (cargo),17,16
Chevrolet,Astro AWD (passenger),17,16
Chevrolet,Avalanche 1500 2WD,21,12
Chevrolet,Avalanche 1500 4WD,14,10
Chevrolet,Beretta,45,10
Chevrolet,Blazer 2WD,22,11
Chevrolet,Blazer 4WD,22,11
Chevrolet,C1500 Pickup 2WD,106,11
Chevrolet,Camaro,130,23
Chevrolet,Cavalier,94,21
Chevrolet,Cavalier Wagon,41,10
Chevrolet,Corsica,35,10
Chevrolet,Corvette,78,30
Chevrolet,Equinox AWD,24,10
Chevrolet,Equinox FWD,24,10
Chevrolet,Express 1500/2500 2WD,33,13
Chevrolet,G10/20 Sport Van 2WD,65,10
Chevrolet,G10/20 Van 2WD,96,12
Chevrolet,G30 Van 2WD,19,12
Chevrolet,Impala,44,15
Chevrolet,K1500 Pickup 4WD,101,11
Chevrolet,Malibu,46,18
Chevrolet,Monte Carlo,33,11
Chevrolet,S10 Blazer 2WD,54,11
Chevrolet,S10 Pickup 2WD,118,20
Chevrolet,S10 Pickup 4WD,37,16
Chevrolet,Sprint,20,10
Chevrolet,Suburban 1500 2WD,32,22
Chevrolet,Suburban 1500 4WD,25,18
Chevrolet,Tahoe 1500 2WD,44,19
Chevrolet,Tahoe 1500 4WD,38,19
Chevrolet,Van 1500/2500 2WD,35,13
Chrysler,Concorde,22,10
Chrysler,LeBaron,47,10
Chrysler,LeBaron Convertible,43,11
Chrysler,PT Cruiser,32,10
Chrysler,Sebring,64,15
Chrysler,Sebring Convertible,41,13
Chrysler,Town and Country 2WD,18,11
Dodge,Avenger,43,13
Dodge,B150/B250 Van 2WD,85,11
Dodge,B150/B250 Wagon 2WD,81,11
Dodge,B350 Van 2WD,36,11
Dodge,B350 Wagon 2WD,30,11
Dodge,Caravan/Grand Caravan 2WD,88,18
Dodge,Charger,56,12
Dodge,Colt,47,10
Dodge,D100/D150 Pickup 2WD,112,10
Dodge,D250 Pickup 2WD,73,10
Dodge,Dakota Pickup 2WD,109,25
Dodge,Dakota Pickup 4WD,89,25
Dodge,Durango 2WD,39,14
Dodge,Durango 4WD,34,15
Dodge,Intrepid,36,12
Dodge,Ram 1500 Pickup 2WD,99,19
Dodge,Ram 1500 Pickup 4WD,59,19
Dodge,Ram 50 Pickup 2WD,47,10
Dodge,Stratus,54,11
Dodge,Viper Convertible,12,12
Dodge,W100/W150 Pickup 4WD,64,10
Dodge,W250 Pickup 4WD,41,10
Ford,Aerostar Van,32,12
Ford,Aerostar Wagon,33,12
Ford,Bronco 4WD,86,13
Ford,Crown Victoria,15,13
Ford,Crown Victoria Police,14,14
Ford,E150 Club Wagon,77,22
Ford,E150 Econoline 2WD,105,23
Ford,E250 Econoline 2WD,71,22
Ford,Escape 4WD,22,11
Ford,Escort,73,18
Ford,Escort Wagon,45,15
Ford,Expedition 2WD,20,12
Ford,Expedition 4WD,18,10
Ford,Explorer 2WD,50,20
Ford,Explorer 4WD,51,21
Ford,F150 Pickup 2WD,200,31
Ford,F150 Pickup 4WD,178,31
Ford,F250 Pickup 2WD,106,15
Ford,F250 Pickup 4WD,57,11
Ford,LTD Crown Victoria,19,10
Ford,Mustang,153,30
Ford,Ranger Pickup 2WD,169,26
