|id|sex|height
0|1|M|6.1
1|2|F|5.5
2|3|F|5.2
3|4|M|4.23118969891572
4|5|M|6.22808396792555
5|6|M|4.38029873219165
6|7|F|5.23898598217308
7|8|M|7.54548870848512
8|9|F|4.88778891087532
9|10|F|4.76057356502892
10|11|M|5.26893677009179
11|12|M|3.85277151346697
12|13|F|3.47028747635172
13|14|F|3.97996807949588
14|15|M|3.98189646806457
15|16|F|6.87243362969915
16|17|F|8.17286648496922
17|18|M|3.90204541204196
18|19|F|6.93647891801778
19|20|M|6.90131917216303
20|21|F|5.74958457189494
21|22|F|7.03001158384939
22|23|F|4.61574093289056
23|24|M|5.61215620841074
24|25|F|1.67527099865094
25|26|F|3.21450180188887
26|27|F|7.62299985994968
27|28|F|6.34534748020621
28|29|M|7.52900837052061
29|30|M|7.4709008506342
30|31|F|4.12459562359621
31|32|F|2.47345925903205
32|33|M|6.20559458129861
33|34|F|5.70416021953043
34|35|M|4.41302967967956
35|36|F|6.1500145793165
36|37|F|5.38266726032647
37|38|M|4.60352880986698
38|39|M|6.43782674795097
39|40|F|5.76845375463976
40|41|F|6.04856941800619
41|42|F|4.88369048949162
42|43|F|6.90617258293828
43|44|F|7.00775354543795
44|45|F|6.05560356797305
45|46|M|5.15096443357509
46|47|F|4.0966994438971
47|48|F|4.78495086317823
48|49|F|5.46629316725997
49|50|M|2.82217046048579
50|51|F|4.7
51|52|M|5.9
52|53|M|5.6
53|54|F|5.6
54|55|M|5.7
