	0	1	2
0	2	F	5.5
1	3	F	5.2
2	4	M	4.23118969891572
3	5	M	6.22808396792555
4	6	M	4.38029873219165
5	7	F	5.23898598217308
6	8	M	7.54548870848512
7	9	F	4.88778891087532
8	10	F	4.76057356502892
9	11	M	5.26893677009179
10	12	M	3.85277151346697
11	13	F	3.47028747635172
12	14	F	3.97996807949588
13	15	M	3.98189646806457
14	16	F	6.87243362969915
15	17	F	8.17286648496922
16	18	M	3.90204541204196
17	19	F	6.93647891801778
18	20	M	6.90131917216303
19	21	F	5.74958457189494
20	22	F	7.03001158384939
21	23	F	4.61574093289056
22	24	M	5.61215620841074
23	25	F	1.67527099865094
24	26	F	3.21450180188887
25	27	F	7.62299985994968
26	28	F	6.34534748020621
27	29	M	7.52900837052061
28	30	M	7.4709008506342
29	31	F	4.12459562359621
30	32	F	2.47345925903205
31	33	M	6.20559458129861
32	34	F	5.70416021953043
33	35	M	4.41302967967956
34	36	F	6.1500145793165
35	37	F	5.38266726032647
36	38	M	4.60352880986698
37	39	M	6.43782674795097
38	40	F	5.76845375463976
39	41	F	6.04856941800619
40	42	F	4.88369048949162
41	43	F	6.90617258293828
42	44	F	7.00775354543795
43	45	F	6.05560356797305
44	46	M	5.15096443357509
45	47	F	4.0966994438971
46	48	F	4.78495086317823
47	49	F	5.46629316725997
48	50	M	2.82217046048579
49	51	F	4.7
50	52	M	5.9
51	53	M	5.6
52	54	F	5.6
53	55	M	5.7
