"Country.Name";"Country.Code";"Indicator.Name";"Indicator.Code";"X1960";"X1961";"X1962";"X1963";"X1964";"X1965";"X1966";"X1967";"X1968";"X1969";"X1970";"X1971";"X1972";"X1973";"X1974";"X1975";"X1976";"X1977";"X1978";"X1979";"X1980";"X1981";"X1982";"X1983";"X1984";"X1985";"X1986";"X1987";"X1988";"X1989";"X1990";"X1991";"X1992";"X1993";"X1994";"X1995";"X1996";"X1997";"X1998";"X1999";"X2000";"X2001";"X2002";"X2003";"X2004";"X2005";"X2006";"X2007";"X2008";"X2009";"X2010";"X2011";"X2012";"X2013";"X2014";"X2015";"X2016";"X2017";"X2018"
"Aruba";"ABW";"Urban population (% of total)";"SP.URB.TOTL.IN.ZS";50,776;50,761;50,746;50,73;50,715;50,7;50,685;50,67;50,654;50,639;50,624;50,609;50,593;50,578;50,563;50,548;50,532;50,517;50,502;50,487;50,472;50,456;50,441;50,426;50,411;50,395;50,38;50,365;50,35;50,335;50,319;50,304;49,998;49,588;49,177;48,767;48,356;47,946;47,536;47,127;46,717;46,339;45,972;45,606;45,24;44,875;44,511;44,147;43,783;43,421;43,059;42,94;42,957;42,99;43,041;43,108;43,192;43,293;43,411
"Aruba";"ABW";"Urban population";"SP.URB.TOTL";27526;28141;28532;28761;28924;29082;29253;29416;29575;29738;29900;30082;30275;30470;30605;30661;30615;30495;30353;30282;30332;30560;30943;31365;31676;31762;31560;31142;30753;30720;31273;32507;34116;35953;37719;39172;40232;40970;41488;41945;42444;43048;43670;44246;44669;44889;44881;44686;44375;44052;43778;43822;44064;44360;44674;44979;45275;45572;46000
"Aruba";"ABW";"Urban population growth (annual %)";"SP.URB.GROW";3,117931095;2,20965751;1,379867676;0,799403835;0,565139755;0,544772578;0,586270643;0,555661148;0,539066587;0,549627941;0,543279112;0,606850584;0,639530321;0,642030356;0,442080131;0,182809439;-0,150140377;-0,392734918;-0,466737634;-0,234188282;0,164978425;0,748870346;1,245483801;1,354581924;0,98666748;0,271131034;-0,638011071;-1,333310556;-1,256983995;-0,107364219;1,784119719;3,870034529;4,83110317;5,244604746;4,795141636;3,779825958;2,670049301;1,817739269;1,256413724;1,09550075;1,182632371;1,413021218;1,434559531;1,310360439;0,951477684;0,491302715;-0,017823326;-0,435428915;-0,698400566;-0,730549349;-0,623934621;0,100456629;0,550714816;0,669503994;0,705351443;0,680403727;0,655928959;0,653848907;NA
"Aruba";"ABW";"Population, total";"SP.POP.TOTL";54211;55438;56225;56695;57032;57360;57715;58055;58386;58726;59063;59440;59840;60243;60528;60657;60586;60366;60103;59980;60096;60567;61345;62201;62836;63026;62644;61833;61079;61032;62149;64622;68235;72504;76700;80324;83200;85451;87277;89005;90853;92898;94992;97017;98737;100031;100832;101220;101353;101453;101669;102053;102577;103187;103795;104341;104822;105264;106000
"Aruba";"ABW";"Population growth (annual %)";"SP.POP.GROW";3,148036836;2,238143931;1,409621865;0,832452558;0,592649039;0,573468248;0,616990878;0,587373201;0,568529799;0,580642385;0,57221119;0,636272958;0,670693326;0,671204938;0,471968484;0,212897716;-0,117120177;-0,363781075;-0,436627544;-0,204858378;0,193211026;0,780690671;1,276347795;1,385740854;1,015708085;0,301918203;-0,607943306;-1,303070407;-1,226909428;-0,076979146;1,813641093;3,902018236;5,44027196;6,068410306;5,625997562;4,616674713;3,517889233;2,669576442;2,114385656;1,960557913;2,055026783;2,22593013;2,229056047;2,109354335;1,757352867;1,30203884;0,797562763;0,384060021;0,131310707;0,09861642;0,212680144;0,376984768;0,512144989;0,592914005;0,587492389;0,524658159;0,459929192;0,420780682;NA
"Aruba";"ABW";"Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)";"SI.POV.DDAY";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aruba";"ABW";"Prevalence of underweight, weight for age (% of children under 5)";"SH.STA.MALN.ZS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aruba";"ABW";"Community health workers (per 1,000 people)";"SH.MED.CMHW.P3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aruba";"ABW";"Mortality rate, under-5 (per 1,000 live births)";"SH.DYN.MORT";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aruba";"ABW";"Primary completion rate, total (% of relevant age group)";"SE.PRM.CMPT.ZS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;101,61912;97,14286;94,40407;94,75524;90,21592;90,5599;88,19797;93,18612;95,58824;95,13303;96,24258;94,7861;NA;NA;96,57064;101,18056;NA;NA;NA;NA
